L,n_matrices,im2row_DRbatch_cuda,input_row transpose,matmul random vectors,get_id_count_cuda,index_bucket_cuda,get_bucket_compact_ids_cuda,get_centroids_add_cuda,div_remap_centroids_cuda,matrix multiplication,reconstruct_output_cuda,bias_add_cuda,get_bucket_counts_out_cuda,Total forward pass,Total Time
12,1444,1.17821,1.0323600000000002,1.02234,0.6525699999999998,0.02299,0.0587,3.64941,0.015080000000000007,0.03113000000000001,0.40209999999999996,0.06748000000000001,0.025010000000000004,8.183860000000001,16.34124
13,1333,1.1756999999999997,1.05375,1.0034100000000001,0.63355,0.022839999999999996,0.05679,3.9439599999999997,0.014990000000000003,0.04694000000000001,0.4074,0.06671,0.025,8.477820000000001,16.928860000000004
14,1238,1.1609399999999999,1.0322800000000003,0.9545699999999998,0.6085299999999999,0.02316,0.050519999999999995,4.22247,0.015130000000000005,0.04797000000000001,0.38608,0.06582,0.02406,8.619069999999999,17.2106
15,1156,1.1564200000000002,1.03169,0.9209500000000002,0.5904600000000001,0.022909999999999996,0.048329999999999984,4.50933,0.015180000000000006,0.05032,0.3675800000000001,0.06653,0.02475,8.83208,17.636529999999997
16,1083,1.1479799999999998,1.02073,0.8819999999999999,0.5768500000000001,0.02317,0.04208000000000002,4.80883,0.014950000000000003,0.03168000000000001,0.3618,0.06448999999999999,0.024090000000000004,9.024720000000002,18.02337
17,1020,1.1576700000000002,1.0434299999999999,0.8906700000000001,0.5705000000000001,0.023089999999999996,0.04254000000000001,5.073239999999999,0.015290000000000005,0.048470000000000006,0.3572700000000001,0.06407999999999998,0.023790000000000002,9.33644,18.64648
18,963,1.13977,1.0099799999999999,0.8623100000000001,0.5593199999999999,0.022959999999999998,0.041540000000000014,5.353480000000002,0.015040000000000003,0.03285,0.33077000000000006,0.06219999999999999,0.02329,9.480059999999998,18.933569999999996
19,912,1.1444699999999999,1.0250599999999999,0.84742,0.5522600000000001,0.02294999999999999,0.037149999999999996,5.64135,0.015220000000000004,0.05245000000000001,0.33755000000000007,0.06258999999999999,0.023420000000000003,9.78883,19.550720000000002
20,867,1.1436500000000003,1.0271400000000002,0.83321,0.5479299999999998,0.02287999999999999,0.03418,5.9184199999999985,0.015100000000000004,0.04889000000000001,0.33696000000000004,0.05981000000000001,0.023440000000000006,10.03837,20.04998
21,826,1.1434000000000002,1.02895,0.8247400000000003,0.5420400000000001,0.022909999999999996,0.03395000000000001,6.212840000000001,0.015200000000000003,0.04583,0.32598999999999995,0.05975000000000001,0.023459999999999998,10.30514,20.5842
22,788,1.14128,1.0286000000000002,0.8138999999999998,0.5374999999999999,0.022759999999999992,0.034109999999999994,6.487779999999999,0.015230000000000004,0.048519999999999994,0.31409999999999993,0.05847000000000001,0.022919999999999996,10.55161,21.076779999999996
23,754,1.1340199999999996,1.0216399999999999,0.7954400000000001,0.53156,0.023,0.03478,6.77313,0.01499,0.04891,0.32004000000000005,0.05824000000000001,0.022649999999999997,10.805120000000002,21.583520000000004
24,722,1.1268900000000002,1.00731,0.7678999999999999,0.52793,0.022690000000000002,0.03373,7.0490400000000015,0.014929999999999999,0.030410000000000003,0.31525,0.05876,0.02265,11.002479999999998,21.97997
25,694,1.14706,1.04968,0.8075199999999999,0.5267499999999999,0.022879999999999998,0.033670000000000005,7.344879999999999,0.015250000000000003,0.04712999999999999,0.3172399999999999,0.05842,0.022729999999999997,11.420130000000004,22.81334
26,667,1.1377499999999998,1.0302900000000002,0.7861199999999997,0.5231000000000001,0.023230000000000004,0.030539999999999994,7.62622,0.015100000000000002,0.046800000000000015,0.30962,0.05802999999999999,0.0217,11.635170000000002,23.24367
